ADP,Player,Team,Pos,CMP,ATT,Pass YDS,Pass TDS,INT,CAR,Rush YDS,Rush TDS,REC,Rec YDS,Rec TDS,TAR,FPTS,Avg
169.9,Kirk Cousins,ATL,QB,4,6,43,0,0,0,0,0,0,0,0,0,328.9,19.3
169.8,Jalen Milroe,SEA,QB,0,0,0,0,0,0,0,0,0,0,0,0,225.4,13.3
3.3,Bijan Robinson,ATL,RB,0,0,0,0,0,303,1422,12,62,490,2,79,352.7,20.7
3.5,Saquon Barkley,PHI,RB,0,0,0,0,0,332,1600,11,48,378,2,64,335.8,19.8
5.4,Jahmyr Gibbs,DET,RB,0,0,0,0,0,235,1154,11,60,568,3,82,323.5,19
8.5,Christian McCaffrey,SF,RB,0,0,0,0,0,261,1189,9,72,612,3,90,325.1,19.1
12,Ashton Jeanty,LV,RB,0,0,0,0,0,273,1248,8,63,482,2,80,317.1,18.7
14.2,De'Von Achane,MIA,RB,0,0,0,0,0,218,1000,9,74,559,4,89,315.5,18.6
19.1,Jonathan Taylor,IND,RB,0,0,0,0,0,358,1654,12,30,236,1,42,322.1,18.9
20.3,Josh Jacobs,GB,RB,0,0,0,0,0,301,1287,12,42,328,2,53,310,18.2
23.3,Bucky Irving,TB,RB,0,0,0,0,0,263,1236,8,53,410,3,65,290.3,17.1
15.1,Derrick Henry,BAL,RB,0,0,0,0,0,326,1529,15,18,157,1,23,300,17.6
26.5,Kyren Williams,LAR,RB,0,0,0,0,0,313,1377,12,36,235,2,46,297.9,17.5
35.3,Chase Brown,CIN,RB,0,0,0,0,0,242,1021,8,64,427,2,79,306.1,18
34.1,James Cook,BUF,RB,0,0,0,0,0,265,1233,12,37,284,2,45,278.2,16.4
41.8,Kenneth Walker,SEA,RB,0,0,0,0,0,275,1144,9,51,369,2,64,270.7,15.9
41.6,Alvin Kamara,NO,RB,0,0,0,0,0,216,916,6,71,575,2,94,275.5,16.2
50.8,Chuba Hubbard,CAR,RB,0,0,0,0,0,276,1238,8,48,291,1,61,266.8,15.7
53.1,James Conner,ARI,RB,0,0,0,0,0,249,1129,10,46,344,2,53,296.8,17.5
50.8,Omarion Hampton,LAC,RB,0,0,0,0,0,239,1069,10,41,297,2,53,282.2,16.6
52.7,Breece Hall,NYJ,RB,0,0,0,0,0,231,1023,5,49,420,2,65,282.5,16.6
57.3,Joe Mixon,HOU,RB,0,0,0,0,0,224,952,9,37,312,2,49,280.7,16.5
66,D'Andre Swift,CHI,RB,0,0,0,0,0,252,1035,8,37,294,1,48,261,15.4
79.3,Aaron Jones,MIN,RB,0,0,0,0,0,187,831,4,52,390,3,67,279.2,16.4
69.4,David Montgomery,DET,RB,0,0,0,0,0,206,850,10,36,272,1,43,259.3,15.3
82.9,Kaleb Johnson,PIT,RB,0,0,0,0,0,261,1112,8,29,212,1,38,264.8,15.6
85.9,TreVeyon Henderson,NE,RB,0,0,0,0,0,214,952,6,43,329,2,56,262.4,15.4
88.2,RJ Harvey,DEN,RB,0,0,0,0,0,179,795,5,50,387,2,65,262.9,15.5
96.3,Tony Pollard,TEN,RB,0,0,0,0,0,229,989,5,45,293,1,60,257,15.1
87.7,Isiah Pacheco,KC,RB,0,0,0,0,0,209,887,7,43,301,2,53,365.5,21.5
103.8,Javonte Williams,DAL,RB,0,0,0,0,0,204,806,7,49,336,2,64,362.7,21.3
108.7,Tyrone Tracy,NYG,RB,0,0,0,0,0,210,912,6,37,282,1,50,367.3,21.6
104.2,Brian Robinson,WAS,RB,0,0,0,0,0,221,930,9,26,193,1,32,364.5,21.4
113.2,Jaylen Warren,PIT,RB,0,0,0,0,0,147,648,4,56,407,2,71,271,15.9
116.3,Rhamondre Stevenson,NE,RB,0,0,0,0,0,196,815,7,29,199,1,38,268.5,15.8
104.8,Cam Skattebo,NYG,RB,0,0,0,0,0,160,690,4,33,240,1,42,243,14.3
119.4,J.K. Dobbins,DEN,RB,0,0,0,0,0,161,727,5,34,222,1,43,246.8,14.5
131.9,Austin Ekeler,WAS,RB,0,0,0,0,0,84,367,4,51,421,2,62,240.6,14.2
126.7,Travis Etienne,JAX,RB,0,0,0,0,0,129,532,3,44,333,1,58,263.7,15.5
139.9,Tyjae Spears,TEN,RB,0,0,0,0,0,133,561,4,40,299,1,52,264.8,15.6
141.8,Tank Bigsby,JAX,RB,0,0,0,0,0,182,793,6,17,122,0,23,328.9,19.3
150.2,Jerome Ford,CLE,RB,0,0,0,0,0,99,454,2,26,170,0,33,225.4,13.3
134.2,Rachaad White,TB,RB,0,0,0,0,0,116,496,3,32,231,2,38,257.3,15.1
142.2,Jordan Mason,MIN,RB,0,0,0,0,0,164,760,4,13,89,0,17,261.4,15.4
132.5,Quinshon Judkins,CLE,RB,0,0,0,0,0,162,710,4,27,188,1,34,240,14.1
